Serial No.,CAS No.,Prefix,Name,Haz. sub.,DG Class,DG Subclass,Schedule,Packing group,UN No.,Size,Size Unit,Location
100010080509,6393-40-4,4-,amino-3-nitrobenzonitrile,Yes,,,,,,5,gram,Harmful H1
100010080510,6393-40-4,4-,amino-3-nitrobenzonitrile,Yes,,,,,,5,gram,Harmful H1
100010080511,6393-40-4,4-,amino-3-nitrobenzonitrile,Yes,,,,,,5,gram,Harmful H1
100010080512,6393-40-4,4-,amino-3-nitrobenzonitrile,Yes,,,,,,5,gram,Harmful H1
100010080513,6393-40-4,4-,amino-3-nitrobenzonitrile,Yes,,,,,,5,gram,Harmful H1
100010080514,6393-40-4,4-,amino-3-nitrobenzonitrile,Yes,,,,,,5,gram,Harmful H1
100010080515,6393-40-4,4-,amino-3-nitrobenzonitrile,Yes,,,,,,5,gram,Harmful H1
100010080516,6393-40-4,4-,amino-3-nitrobenzonitrile,Yes,,,,,,5,gram,Harmful H1
100010080517,6393-40-4,4-,amino-3-nitrobenzonitrile,Yes,,,,,,5,gram,Harmful H1
100010080518,6393-40-4,4-,amino-3-nitrobenzonitrile,Yes,,,,,,5,gram,Harmful H1
100010080519,6393-40-4,4-,amino-3-nitrobenzonitrile,Yes,,,,,,5,gram,Harmful H1
100010080521,6393-40-4,4-,amino-3-nitrobenzonitrile,Yes,,,,,,5,gram,Harmful H1
100010080522,6393-40-4,4-,amino-3-nitrobenzonitrile,Yes,,,,,,5,gram,Harmful H1
100010147400,24241-18-7,2-,"amino-3,5-dibromopyrazine",Yes,6.1,,,III,2811,25,gram,Toxic TS1
100010147401,24241-18-7,2-,"amino-3,5-dibromopyrazine",Yes,6.1,,,III,2811,25,gram,Toxic TS1
100010147402,24241-18-7,2-,"amino-3,5-dibromopyrazine",Yes,6.1,,,III,2811,15,gram,Toxic TS1
100010147403,24241-18-7,2-,"amino-3,5-dibromopyrazine",Yes,6.1,,,III,2811,17,gram,Toxic TS1
100010080600,78473-00-4,4-,"amino-3,5-dichlorobenzonitrile",Yes,,,,,,25,gram,Harmful H1
100010054600,99-57-0,2-,amino-4-nitrophenol,Yes,,,,,,25,gram,Freezer 1 S2 B2
100010080700,101-59-7,4-,amino-4'-nitrodiphenyl sulfide,Yes,,,,,,5,gram,Harmful H1
100010080800,121-88-0,2-,amino-5-nitrophenol,Yes,,,,,,25,gram,Harmful H1
100010147500,1603-41-4,2-,amino-5-picoline,Yes,6.1,,,II,2811,50,gram,Toxic TS1
100010080900,95-24-9,2-,amino-6-chlorobenzothiazole,No,,,,,,5,gram,Harmful H1
100010141000,1824-81-3,2-,amino-6-picoline,Yes,6.1,,,,,100,gram,Toxic TM1
100010119900,283160-20-3,5-,amino-n-valeric acid,Yes,,,,,,5,gram,Harmful H8
100010063800,14691-88-4,4-,amino-TEMPO,No,,,,,,1,gram,Fridge Door
100010081000,60-09-3,4-,aminoazobenzene,Yes,9,,,,,250,milligram,Harmful H1
100010091300,150-13-0,4-,aminobenzoic acid,Yes,,,,,,100,gram,Harmful H16
100010120000,2237-30-1,3-,aminobenzonitrile,Yes,,,,,,25,gram,Harmful H8
100010120001,2237-30-1,3-,aminobenzonitrile,Yes,,,,,,25,gram,Harmful H8
100010141100,873-74-5,4-,aminobenzonitrile,Yes,6.1,,,,,50,gram,Toxic TM1
100010141101,873-74-5,4-,aminobenzonitrile,Yes,6.1,,,,,50,gram,Toxic TM1
100010032900,455-14-1,4-,aminobenzotrifluoride,No,,,,,,10,gram,Flammable liquid Small
100010081600,60-32-2,6-,aminocaproic acid,No,,,,,,100,gram,Harmful H10
100010147600,123088-59-5,4-,aminocarbonylphenylboronic acid,Yes,6.1,,,,,25,gram,Toxic TS1
100010081100,850568-55-7,4-(,aminomethyl)phenylboronic acid pinacol ester,No,,,,,,1,gram,Harmful H1
100010024100,130290-79-8,4-,aminomethyltetrahydropyran,Yes,8,,,,,25,gram,Corrosive Base 1
100010033000,4319-49-7,N-,aminomorpholine,Yes,3,,,III,1993,25,gram,Flammable liquid Small
100010081200,66472-86-4,3-,aminophenylboronic acid (sulfate salt),Yes,,,,,,5,gram,Harmful H1
100010147700,70-69-9,p-,aminopropiophenone,Yes,6.1,,,,,100,gram,Toxic TS1
100010147701,70-69-9,p-,aminopropiophenone,Yes,6.1,,,,,100,gram,Toxic TS1
100010147702,70-69-9,p-,aminopropiophenone,Yes,6.1,,,,,25,gram,Toxic TS1
100010004600,88675-24-5,3-,aminotetrahydrofuran,Yes,3,,,III,1993,5,gram,Flammable liquid Small
100010068300,1193-02-08,4-,aminothiophenol,Yes,8,,,II,3263,25,gram,Fridge S2 B1
100010081700,932-52-5,5-,aminouracil,No,,,,,,25,gram,Harmful H10
100010022800,7664-41-7,,ammonia solution,Yes,8,,,III,,2.5,liter,Corrosive Base 4
100010002800,112926-00-8,,silica gel,No,,,,III,,1,kilogram, Chromatography/filtration aids
100010002900,112926-00-8,,silica gel,No,,,,III,,250,gram, Chromatography/filtration aids
100010003000,112926-00-8,,silica gel,No,,,,III,,450,gram, Chromatography/filtration aids
100010003100,112926-00-8,,silica gel,No,,,,III,,1,kilogram, Chromatography/filtration aids
100010003200,112926-00-8,,silica gel,No,,,,III,,1,kilogram, Chromatography/filtration aids
100010003201,112926-00-8,,silica gel,No,,,,III,,1,kilogram, Chromatography/filtration aids
100010003202,112926-00-8,,silica gel,No,,,,III,,1,kilogram, Chromatography/filtration aids
100010003300,112926-00-8,,silica gel,No,,,,III,,500,gram, Chromatography/filtration aids
100010003301,112926-00-8,,silica gel,No,,,,III,,500,gram, Chromatography/filtration aids
100010003400,112926-00-8,,silica gel,No,,,,III,,1,kilogram, Chromatography/filtration aids
100010003401,112926-00-8,,silica gel,No,,,,III,,1,kilogram, Chromatography/filtration aids
100010024200,12135-76-1,,ammonium sulfide solution,Yes,8,3,,II,2683,100,milliliter,Corrosive Base 1
100010081800,60-09-3,4-,aminoazobenzene,Yes,9,,,,,25,gram,Harmful H10
100010141200,62-53-3,,aniline,Yes,6.1,,,II,1547,250,milliliter,Toxic TM1
100010081900,0123-11-05,p-,anisaldehyde,Yes,,,,,,100,milliliter,Harmful H10
100010091400,0100-09-04,p-,anisic acid,Yes,,,,,,100,gram,Harmful H16
100010091401,0100-09-04,p-,anisic acid,Yes,,,,,,100,gram,Harmful H16
100010141300,90-04-0,o-,anisidine,Yes,6.1,,,III,2431,100,gram,Toxic TM1
100010141400,104-94-9,p-,anisidine,Yes,6.1,,,,,100,gram,Toxic TM1
100010141401,104-94-9,p-,anisidine,Yes,6.1,,,,,100,gram,Toxic TM1
100010033100,100-66-3,,anisole,Yes,3,,,III,2222,500,milliliter,Flammable liquid Small
100010091500,0120-12-7,,anthracene,Yes,,,,,,100,gram,Harmful H16
100010081300,642-31-9,9-,anthraldehyde,No,,,,,,25,gram,Harmful H1
100010081400,90-44-8,,anthrone,Yes,,,,,,25,gram,Harmful H1
100010141500,7440-36-0,,antimony,Yes,6.1,,,III,2871,250,gram,Toxic TM1
100010003402,112926-00-8,,silica gel,No,,,,III,,500,gram, Chromatography/filtration aids
100010050500,9029-44-1,,ascorbate oxidase,No,,,,,,440,microgram,Freezer 1 S2 B1
100010103303,7789-45-9,,copper (II) bromide,Yes,8,,,III,3260,50,gram,Corrosive Dessicator
100010026400,34946-82-2,,copper (II) trifluoromethanesulfonate,Yes,8,,,II,3261,5,gram,Corrosive Dessicator
100010026500,13450-90-3,,gallium (III) chloride,Yes,8,,,II,3260,5,gram,Corrosive Dessicator
100010024300,17194-00-2,,barium hydroxide monohydrate,Yes,8,,,III,1564,25,gram,Corrosive Base 1
100010033200,100-52-7,,benzaldehyde,Yes,3,,,III,1989,500,milliliter,Flammable liquid Small
100010033201,100-52-7,,benzaldehyde,Yes,3,,,III,1989,500,milliliter,Flammable liquid Small
100010033202,100-52-7,,benzaldehyde,Yes,3,,,III,1989,500,milliliter,Flammable liquid Small
100010160200,100-52-7,,benzaldehyde,Yes,3,,,III,1989,500,milliliter,Flammable liquid Small
100010136100,71-43-2,,benzene,Yes,3,,7,II,1114,500,milliliter,Poisons Draw 3
100010136200,1076-43-3,d6-,benzene,Yes,3,,7,II,1114,None,,Poisons Draw 3
100010160300,17697-12-0,,benzeneseleninic acid anhydride,Yes,6.1,,,III,3283,25,gram,Toxic TS2
100010013600,98-09-9,,benzenesulfonyl chloride,Yes,8,,,III,2225,100,gram,Corrosive Acid 1
100010120100,29668-44-8,"1,4-",benzodioxan-6-carboxaldehyde,No,,,,,,5,gram,Harmful H8
100010094300,98437-24-2,2-,benzofuranylboronic acid,No,,,,,,5,gram,Harmful H2
100010098800,65-85-0,,benzoic acid,Yes,,,,,,500,gram,Harmful H22
100010082000,119-61-9,,benzophenone,Yes,,,,,,100,gram,Harmful H10
100010082001,119-61-9,,benzophenone,Yes,,,,,,100,gram,Harmful H10
100010139101,106-51-4,"1,4-",benzoquinone (p-benzoquinone),Yes,6.1,,,II,2587,100,gram,Toxic TL1
100010160500,95-16-9,,benzothiazole,Yes,6.1,,,III,2810,100,milliliter,Toxic TM1
100010115700,98437-23-1,1-,benzothiophene-2-boronic acid,No,,,,,,5,gram,Harmful H7
100010100900,95-14-7,,benzotriazole,Yes,,,,,,500,gram,Harmful H25
100010147800,95-14-7,,benzotriazole,Yes,,,,,,25,gram,Toxic TS1
100010013700,98-88-5,,benzoyl chloride,Yes,8,,,II,1736,500,gram,Corrosive Acid 1
100010049800,94-36-0,,benzoyl peroxide,Yes,5.2,,,,3104,100,gram,Freezer 1 S1 B1
100010049801,94-36-0,,benzoyl peroxide,Yes,5.2,,,,3104,100,gram,Freezer 1 S1 B1
100010094400,24686-78-0,1-,benzoyl-4-piperidone,Yes,,,,,,1,gram,Harmful H2
100010094401,24686-78-0,1-,benzoyl-4-piperidone,Yes,,,,,,1,gram,Harmful H2
100010094500,1272-44-2,,benzoylferrocene,No,,,,,,25,gram,Harmful H2
100010094501,1272-44-2,,benzoylferrocene,No,,,,,,5,gram,Harmful H2
100010099000,100-51-6,,benzyl alcohol,Yes,,,,,,250,milliliter,Harmful H22
100010149500,100-39-0,,benzyl bromide,Yes,6.1,8,,II,1737,25,gram,Toxic TS1
100010149501,100-39-0,,benzyl bromide,Yes,6.1,8,,II,1737,100,milliliter,Toxic TM1
100010141600,140-29-4,,benzyl cyanide,Yes,6.1,,,III,2470,250,gram,Toxic TM1
100010057000,10340-91-7,,benzyl isocyanide,Yes,9,,,,3334,1,gram,Freezer 1 S2 B3
100010094600,3612-20-2,1-,benzyl-4-piperidone,Yes,,,,,,100,gram,Harmful H2
100010082100,2550-26-7,,benzylacetone,No,,,,,,100,gram,Harmful H10
100010094700,2687-43-6,O-,benzylhydroxylamine hydrochloride,Yes,,,,,,25,gram,Harmful H2
100010054700,172222-30-9,,benzylidene-bis(tricyclohexylphosphine) dichlororuthenium (Grubbs catalyst),Yes,,,,,,1,gram,Freezer 1 S2 B2
100010054701,172222-30-9,,benzylidene-bis(tricyclohexylphosphine) dichlororuthenium (Grubbs catalyst),Yes,,,,,,5,gram,Freezer 1 S2 B2
100010033300,6921-34-2,,benzylmagnesium chloride,Yes,3,8,,II,2924,100,milliliter,Flammable liquid Small
100010158000,103-67-3,N-,benzylmethylamine,Yes,8,,,II,2735,30,gram,Corrosive Base 1
100010120200,2426-87-1,4-,benzyloxy-3-methoxybenzaldehyde,No,,,,,,25,gram,Harmful H8
100010083100,56-37-1,,benzyltriethylammonium chloride,Yes,,,,,,500,gram,Harmful H22
100010083101,56-37-1,,benzyltriethylammonium chloride,Yes,,,,,,500,gram,Harmful H22
100010083102,56-37-1,,benzyltriethylammonium chloride,Yes,,,,,,500,gram,Harmful H22
100010094800,5019-82-9,,bicyclo[3.2.1]octan-2-one,Yes,,,,,,5,gram,Harmful H2
100010094801,5019-82-9,,bicyclo[3.2.1]octan-2-one,Yes,,,,,,5,gram,Harmful H2
100010094802,5019-82-9,,bicyclo[3.2.1]octan-2-one,Yes,,,,,,5,gram,Harmful H2
100010094900,17931-55-4,,bicyclo[3.3.1]nonan-9-one,Yes,,,,,,5,gram,Harmful H2
100010095000,3218-36-8,4-,biphenylcarboxaldehyde,Yes,,,,,,25,gram,Harmful H2
100010141700,553-26-4,"4,4'-",bipyridyl,Yes,6.1,,,,,25,gram,Toxic TM1
100010147900,366-18-7,"2,2'-",bipyridyl,Yes,6.1,,,,,5,gram,Toxic TS1
100010147901,366-18-7,"2,2'-",bipyridyl,Yes,6.1,,,,,5,gram,Toxic TS1
100010147902,366-18-7,"2,2'-",bipyridyl,Yes,6.1,,,,,10,gram,Toxic TS1
100010120300,141556-45-8,"1,3-","bis-(2,4,6-trimethylphenyl)imidazolium chloride",Yes,,,,,,5,gram,Harmful H8
100010148000,112-26-5,"1,2-",bis(2-chloroethoxy)ethane,Yes,6.1,,,,,5,gram,Toxic TS1
100010142600,111-44-4,,bis(2-chloroethyl) ether,Yes,6.1,3,,II,1916,250,milliliter,Toxic TM2
100010141800,821-48-7,,bis(2-chloroethyl)amine HCl,Yes,6.1,,,,,100,gram,Toxic TM1
100010095100,36839-55-1,"1,2-",bis(2-iodoethoxy)ethane,No,,,,,,25,gram,Harmful H2
100010026600,4207-56-1,,phenyltrimethylammonium tribromide,Yes,8,,,II,3261,25,gram,Corrosive Dessicator
100010095200,32005-36-0,,bis(benzylideneacetone)palladium,No,,,,,,5,gram,Harmful H2
100010095300,7703-74-4,"2,6-",bis(bromomethyl)pyridine,Yes,,,,,,5,gram,Harmful H2
100010018200,1667-10-3,"4,4'-","bis(chloromethyl)-1,1'-biphenyl",Yes,8,,,II,3261,250,gram,Corrosive Acid 2
100010148100,14647-23-5,,bis(diphenylphosphino)ethanenickel (II) chloride,No,6.1,,,,,5,gram,Toxic TS1
100010095500,6737-42-4,"1,3-",bis(diphenylphosphino)propane,No,,,,,,10,gram,Harmful H2
100010095600,15629-92-2,"[1,3-",bis(diphenylphosphino)propane]dichloronickel(II),Yes,,,,,,5,gram,Harmful H2
100010082200,38661-72-2,"1,3-",bis(isocyanatomethyl)cyclohexane,Yes,,,,,,100,milliliter,Harmful H10
100010095700,73183-34-3,,bis(pinacolato)diboron,No,,,,,,25,gram,Harmful H2
100010095703,73183-34-3,,bis(pinacolato)diboron,No,,,,,,25,gram,Harmful H2
100010057100,82436-77-9,,bis(sulfosuccinimidyl) suberate salt,Yes,,,,,,25,milligram,Freezer 1 S3 B1
100010136300,813-19-4,,bis(tributyltin) see hexabutylditin,Yes,6.1,,7,III,2788,10,gram,Poisons Draw 3
100010141900,328-74-5,"3,5-",bis(trifluoromethyl)aniline,Yes,6.1,,,,,100,milliliter,Toxic TM1
100010095800,328-701,"3,5-",bis(trifluoromethyl)bromobenzene,No,,,,,,100,gram,Harmful H2
100010026700,14898-67-0,,rhodium (III) chloride hydrate,Yes,8,,,II,3260,5,gram,Corrosive Dessicator
100010095900,13965-03-02,,bis(triphenylphosphine) palladium (II) dichloride,No,,,,,,1,gram,Harmful H2
100010068400,2349-52-3,,bisbenzimide,Yes,,,,,,1,gram,Fridge S2 B1
100010160700,56-35-9,,bistributyltin oxide,Yes,6.1,,,II,2788,100,milliliter,Toxic TM1
100010096000,492-97-7,"2,2'-",bithiophene,No,,,,,,5,gram,Harmful H2
100010126400,134464-79-2,1-,BOC-4-mercaptopiperidine,No,,,,,,1,gram,Freezer 2
100010024400,51644-96-3,N-,BOC-cadaverine,Yes,8,,,III,2735,1,milliliter,Corrosive Base 1
100010075400,2389-45-9,Ne-t-,BOC-Na-CBZ-L-Lysine,Yes,,,,,,1,gram,Fridge S4 B1
100010075401,2389-45-9,Ne-t-,BOC-Na-CBZ-L-Lysine,Yes,,,,,,3,gram,Fridge S4 B1
100010075402,2389-45-9,Ne-t-,BOC-Na-CBZ-L-Lysine,Yes,,,,,,10,gram,Fridge S4 B1
100010075500,2212-76-2,Ne-t-,"BOC-Na-CBZ-L-Lysine, Dicyclohexylamine salt",Yes,,,,,,1,gram,Fridge S4 B1
100010096100,75-22-9,,borane trimethylamine complex,Yes,,,,,,25,milliliter,Harmful H2
100010061100,13292-87-0,,borane-methylsulphide complex,Yes,4.3,3,,I,3399,80,gram,Freezer 1 S4 B2
100010066000,14044-65-6,,borane-THF complex,Yes,4.3,3,,I,3399,100,milliliter,Fridge S1 B1
100010013800,10043-35-3,,boric acid granular,Yes,,,,,,500,gram,Corrosive Acid 1
100010153700,10294-33-4,,boron tribromide,Yes,6.1,8,,I,3390,25,milliliter,Toxic TXL
100010153701,10294-33-4,,boron tribromide,Yes,6.1,8,,I,3390,25,milliliter,Toxic TXL
100010153702,10294-33-4,,boron tribromide,Yes,6.1,8,,I,3390,25,milliliter,Toxic TXL
100010153703,10294-33-4,,boron tribromide,Yes,6.1,8,,I,3390,25,milliliter,Toxic TXL
100010033400,10294-34-5,,boron trichloride,Yes,3,8,,II,2924,100,milliliter,Flammable liquid Small
100010066100,109-63-7,,boron trifluoride ethyl ether complex,Yes,8,3,,I,2604,250,milliliter,Fridge S1 B1
100010066101,109-63-7,,boron trifluoride ethyl ether complex,Yes,8,3,,I,2604,250,milliliter,Fridge S1 B1
100010136400,7726-95-6,,bromine,Yes,8,6.1,7,I,1744,100,milliliter,Poisons Draw 3
100010033500,38771-21-0,4-,bromo-1-butyne,Yes,3,6.1,,III,1992,5,gram,Flammable liquid Small
100010059400,2695-47-8,6-,bromo-1-hexene,Yes,3,,,III,1993,5,gram,Freezer 1 S4 B1
100010160800,2695-47-8,6-,bromo-1-hexene,Yes,3,,,III,1993,5,gram,Freezer 1 S4 B1
100010160900,2695-47-8,6-,bromo-1-hexene,Yes,3,,,III,1993,5,gram,Freezer 1 S4 B1
100010161000,2695-47-8,6-,bromo-1-hexene,Yes,3,,,III,1993,5,gram,Freezer 1 S4 B1
100010066200,1119-51-3,5-,bromo-1-pentene,Yes,3,,,III,1993,25,gram,Fridge S1 B1
100010161100,1119-51-3,5-,bromo-1-pentene,Yes,3,,,III,1993,5,milliliter,Freezer 3
100010161200,1119-51-3,5-,bromo-1-pentene,Yes,3,,,III,1993,25,milliliter,Freezer 3
100010061200,4704-77-2,3-,"bromo-1,2-propanediol",Yes,8,,,II,1760,25,milliliter,Freezer 1 S4 B2
100010142000,107-04-0,1-,bromo-2-chloroethane,Yes,6.1,,,,,250,gram,Toxic TM1
100010148200,146328-85-0,5-,bromo-2-fluorobenzoic acid,Yes,6.1,,,III,2811,5,gram,Toxic TS1
100010005100,875-51-4,4-,bromo-2-nitroaniline,Yes,,,,,,25,gram,Harmful H18
100010082300,577-19-5,1-,bromo-2-nitrobenzene,No,,,,,,100,gram,Harmful H10
100010161300,577-19-5,1-,bromo-2-nitrobenzene,No,,,,,,100,gram,Harmful H10
100010075600,34160-40-2,6-,bromo-2-pyridinecarboxaldehyde,Yes,,,,,,1,gram,Fridge S4 B1
100010101000,109-76-8,1-,bromo-3-chloropropane,Yes,,,,,,1,kilogram,Harmful H25
100010142100,109-70-6,1-,bromo-3-chloropropane,Yes,6.1,,,,,25,gram,Toxic TM1
