Approved by,Barcode,Brand,Building,CAS,Container type,Date in,Expire,Group,Hazard Classification,Region specific hazard code(s),Hazard code(s),Hazard Label(s),Laboratory,Location,Location path,Lot Number,Product name,NFPA Label,Note (Item),Note (Product),Responsible person,Packaging group,PPE,Precautionary statement(s),Product number,Proposed location,Purity (%),Quantity,Net Quantity,Quantity unit,Current quantity (Net),Normalized quantity,Normalized current quantity,Normalized unit,Hazard Signal Word,Site,State,Storage temperature,Sublocation,Tags,Transport hazard class 1,Transport hazard class 2,Transport hazard class 3,UN number,German Water Hazard Class (WGK),Molecular weight,InChI,CID,Iupac Name,Lagerklasse (TRGS 510),Component - CAS,Component - name,Component - concentration,Component - CAS,Component - name,Component - concentration,Component - CAS,Component - name,Component - concentration,Component - CAS,Component - name,Component - concentration
,4736,Aldrich,Materials Innovation Factory,3083-10-1,,16/10/2017,,Cooper Group,Skin corrosion/irritation (Category 1),,H314,GHS_05,Synthetic Laboratory,Box 9,Cupboard 7 > Box 9,,"1,1,4,7,10,10-Hexamethyltriethylenetetramine",,,,Alex James (amjames),,,,366404-5G,,,5 g,5,g,,5,,g,Danger,,,,,,,,,2735,,230.3999939,"InChI=1S/C12H30N4/c1-13(2)7-9-15(5)11-12-16(6)10-8-14(3)4/h7-12H2,1-6H3",76509,,,,,,,,,,,,,,
,4149,Alfa Aesar,Materials Innovation Factory,3282-11-9,,17/10/2017,,Cooper Group,No data available,,,,Synthetic Laboratory,Box 9,Cupboard 3 > Box 9,,"4,4""-dinitro-p-terphenyl",,,,Rob Clowes (rob123),,,,B22059,,,5 g,5,g,,5,,g,,,,,,,,,,0,,320.3039856,InChI=1S/C18H12N2O4/c21-19(22)17-9-5-15(6-10-17)13-1-2-14(4-3-13)16-7-11-18(12-8-16)20(23)24/h1-12H,101423,,,,,,,,,,,,,,
,10976,TCI America,Materials Innovation Factory,3491-12-1,,19/10/2021,,Cooper Group,No data available,,,,Synthetic Laboratory,Box 3,Cupboard 1 > Box 3,,"1,4-bis(4-aminophenoxy)-benzene",,,,Thomas Fellowes (thomas.fellows),,,,b1243,,,25g,25,g,25g,25,25,g,,,,,,,,,,,,292.3380127,"InChI=1S/C18H16N2O2/c19-13-1-5-15(6-2-13)21-17-9-11-18(12-10-17)22-16-7-3-14(20)4-8-16/h1-12H,19-20H2",19012,,,,,,,,,,,,,,
,5260,Aldrich,Materials Innovation Factory,3956-07-8,,12/10/2017,,Cooper Group,No data available,,,,Synthetic Laboratory,Box 6,Cupboard 7 > Box 6,,4-Iodobenzamide,,,,Alex James (amjames),,,,765074-1G,,,1 g,1,g,,1,,g,,,,,,,,,,0,,247.0350037,"InChI=1S/C7H6INO/c8-6-3-1-5(2-4-6)7(9)10/h1-4H,(H2,9,10)",77561,,,,,,,,,,,,,,
,5833,Aldrich,Materials Innovation Factory,3959-07-7,,13/10/2017,,Cooper Group,Skin corrosion/irritation (Category 1),,H314,GHS_05,Synthetic Laboratory,Box 11,Cupboard 2 > Box 11,,4-Bromobenzylamine,,,,Thomas Fellowes (thomas.fellows),,,,479152-1G,,,1 g,1,g,,1,,g,Danger,,,ROOM,,,,,,3259,,186.052002,"InChI=1S/C7H8BrN/c8-7-3-1-6(5-9)2-4-7/h1-4H,5,9H2",77571,,,,,,,,,,,,,,
,5834,Aldrich,Materials Innovation Factory,3959-07-7,,13/10/2017,,Cooper Group,Skin corrosion/irritation (Category 1),,H314,GHS_05,Synthetic Laboratory,Box 11,Cupboard 2 > Box 11,,4-Bromobenzylamine,,,,Thomas Fellowes (thomas.fellows),,,,479152-1G,,,1 g,1,g,,1,,g,Danger,,,ROOM,,,,,,3259,,186.052002,"InChI=1S/C7H8BrN/c8-7-3-1-6(5-9)2-4-7/h1-4H,5,9H2",77571,,,,,,,,,,,,,,
,4700,Aldrich,Materials Innovation Factory,3988-03-2,,16/10/2017,,Cooper Group,No data available,,,,Synthetic Laboratory,Box 9,Cupboard 3 > Box 9,,"4,4′-Dibromobenzophenone",,,,Marc Little (malittle),,,,166634,,,1 g,1,g,,1,,g,,,,,,,,,,0,,340.0140076,InChI=1S/C13H8Br2O/c14-11-5-1-9(2-6-11)13(16)10-3-7-12(15)8-4-10/h1-8H,72868,,,,,,,,,,,,,,
,7666,Fluorochem,Materials Innovation Factory,4113-04-6,,07/08/2018,,Cooper Group,No data available,,,,Synthetic Laboratory,Box 9,Cupboard 1 > Box 9,,Quinoline-6-carbaldehyde,,,,Xiaobo Li (xli),,,,031467,,97,1 g,1,g,,1,,g,,,Solid,ROOM,,,,,,0,,157.1719971,InChI=1S/C10H7NO/c12-7-8-3-4-10-9(6-8)2-1-5-11-10/h1-7H,765653,,,,,,,,,,,,,,
,7660,TCI,Materials Innovation Factory,4181-05-9,,03/08/2018,,Cooper Group,No data available,,,,Synthetic Laboratory,FC07 (White cupboard),FC07 (White cupboard),,"4-(N,N-Diphenylamino)benzaldehyde",,,,Xiaobo Li (xli),,,,D2172,,98,5 g,5,g,,5,,g,,,Solid,ROOM,,,,,,0,,273.3349915,InChI=1S/C19H15NO/c21-15-16-11-13-19(14-12-16)20(17-7-3-1-4-8-17)18-9-5-2-6-10-18/h1-15H,77846,,,,,,,,,,,,,,
,9193,TCI,Materials Innovation Factory,4181-05-9,,31/10/2019,,Cooper Group,No data available,,,,Synthetic Laboratory,FC07 (White cupboard),FC07 (White cupboard),,"4-(N,N-Diphenylamino)benzaldehyde",,,,Xiaobo Li (xli),,,,D2172,,98,5 g,5,g,5 g,5,5,g,,,Solid,ROOM,,,,,,0,,273.3349915,InChI=1S/C19H15NO/c21-15-16-11-13-19(14-12-16)20(17-7-3-1-4-8-17)18-9-5-2-6-10-18/h1-15H,77846,,,,,,,,,,,,,,
,5183,Acros Organics,Materials Innovation Factory,4381-02-6,,11/10/2017,,Cooper Group,No data available,,,,Synthetic Laboratory,Box 10,Cupboard 4 > Box 10,A0237634,"4,4'-dicyanobibenzyl",,,,Thomas Fellowes (thomas.fellows),,,,294490010,,,1 gr,1,gr,,1,,g,,,,,,,,,,3439,,232.2859955,"InChI=1S/C16H12N2/c17-11-15-7-3-13(4-8-15)1-2-14-5-9-16(12-18)10-6-14/h3-10H,1-2H2",2724993,,,,,,,,,,,,,,
,5936,Acros,Materials Innovation Factory,4381-02-6,,16/10/2017,,Cooper Group,No data available,,,,Synthetic Laboratory,Box 1,Cupboard 1 > Box 1,,"4,4'-Dicyanobibenzyl",,,,Xiaobo Li (xli),I,,,294490010,,,1 g,1,g,,1,,g,,,,,,,6.1,,,3439,,232.2859955,"InChI=1S/C16H12N2/c17-11-15-7-3-13(4-8-15)1-2-14-5-9-16(12-18)10-6-14/h3-10H,1-2H2",2724993,,,,,,,,,,,,,,
,3044,Alfa Aesar,Materials Innovation Factory,4526-07-2,,17/11/2017,,Cooper Group,No data available,,,,Synthetic Laboratory,Fridge 4,Fridge 4,,"1,4-Bis(trimethylsilyl)-1,3-butadiyne",,,,Marc Little (malittle),,,,L09246,,,5 g,5,g,,5,,g,,,,ROOM,,,,,,0,,194.4259949,"InChI=1S/C10H18Si2/c1-11(2,3)9-7-8-10-12(4,5)6/h1-6H3",138279,,,,,,,,,,,,,,
,5519,Alfa Aesar,Materials Innovation Factory,4526-07-2,,12/10/2017,,Cooper Group,No data available,,,,Synthetic Laboratory,Box 9,Cupboard 2 > Box 9,10174340,"1,4-Bis(trimethylsilyl)-1,3-butadiyne ≥98%",,,,Marc Little (malittle),,,,L09246,,,5g,5,g,5g,5,5,g,,,,ROOM,,,,,,0,,194.4259949,"InChI=1S/C10H18Si2/c1-11(2,3)9-7-8-10-12(4,5)6/h1-6H3",138279,,,,,,,,,,,,,,
,8537,Alfa Aesar,Materials Innovation Factory,4731-5-31,,22/03/2019,,Cooper Group,No data available,,H314,,Synthetic Laboratory,FC09 (White cupboard),FC09 (White cupboard),10215241,"Tri-n-octylphosphine, tech. 90%",,,,Haofan Yang (hyang),II,,P280;P303 + P361 + P353;P305 + P351 + P338;P310,L15744,,90%,25 ml,25,ml,,25,,ml,Danger,,,,,,8,,,1760,,,,,,,,,,,,,,,,,,
,5513,Aldrich,Materials Innovation Factory,4767-03-7,,12/10/2017,,Cooper Group,Serious eye damage/eye irritation (Category 2),,H319,GHS_07,Synthetic Laboratory,Box 11,Cupboard 2 > Box 11,,"2,2-Bis(hydroxymethyl)propionic acid",,,,Thomas Fellowes (thomas.fellows),,,,106615-500G,,,500 g,500,g,,500,,g,Warning,,,ROOM,,,,,,0,,134.1309967,"InChI=1S/C5H10O4/c1-5(2-6,3-7)4(8)9/h6-7H,2-3H2,1H3,(H,8,9)",78501,,,,,,,,,,,,,,
,7065,Aldrich,Materials Innovation Factory,4885-02-3,,17/11/2017,,Cooper Group,No data available,,,,Synthetic Laboratory,Fridge 3,Fridge 3,,Dichloromethyl methyl ether,,,,Veronica Del Angel Hernandez (v.del-angel-hernandez),,,,D65658-25G,,,25G,25,g,,25,,g,,,,,,,,,,0,,114.9589996,"InChI=1S/C2H4Cl2O/c1-5-2(3)4/h2H,1H3",21004,,,,,,,,,,,,,,
,8087,Aldrich,Materials Innovation Factory,4885-02-3,,27/11/2018,,Cooper Group,"Skin corrosion/irritation (Category 1);Flammable liquids (Category 2);Acute toxicity, Oral (Category 4);Acute toxicity, Inhalation (Category 4)",,H225;H302;H314;H332,GHS_02;GHS_05;GHS_07,Synthetic Laboratory,Fridge 4,Fridge 4,,Dichloromethyl methyl ether,,,,Rob Clowes (rob123),I,,,D65658,,,25 g,25,g,,25,,g,Danger,,,,,,3,8,,2924,,114.9589996,"InChI=1S/C2H4Cl2O/c1-5-2(3)4/h2H,1H3",21004,,,,,,,,,,,,,,
,10613,Fluorochem,Materials Innovation Factory,4885-03-4,,21/10/2021,,Cooper Group,No data available,,,,Synthetic Laboratory,FC09 (White cupboard),FC09 (White cupboard),,DICHLORODIPHENOXYMETHANE,,,,Xue Wang (xwang),II,,P280;P301;P303;P304 + P340;P305;P310;P330;P351;P361;P501,505390,,,5 g,5,g,,5,,g,,,Solid,,,,8,,,1759,,269.1270142,"InChI=1S/C13H10Cl2O2/c14-13(15,16-11-7-3-1-4-8-11)17-12-9-5-2-6-10-12/h1-10H",5116898,[dichloro(phenoxy)methoxy]benzene,,,,,,,,,,,,,
,8810,Aldrich,Materials Innovation Factory,5188-07-8,,20/06/2019,,Cooper Group,"Skin corrosion/irritation (Category 1A);Flammable solids (Category 1);Acute toxicity, Oral (Category 3)",,H228;H301;H314,GHS_02;GHS_05;GHS_06,Synthetic Laboratory,Cupboard 8,Cupboard 8,BCBS84,Sodium thiomethoxide,,,,Xue Wang (xwang),II,,P210;P280;P301 + P310;P305 + P351 + P338;P310,281018-5G,,95%,5 g,5,g,,5,,g,Danger,,Solid,ROOM,,,8,4.1,,2921,,70.09200287,"InChI=1S/CH4S.Na/c1-2;/h2H,1H3;/q;+1/p-1",4378561,,,,,,,,,,,,,,
,9155,Aldrich,Materials Innovation Factory,5407-04-5,,24/10/2019,,Cooper Group,"Acute toxicity, Oral (Category 4);Skin corrosion/irritation (Category 2);Serious eye damage/eye irritation (Category 2);Specific target organ toxicity - single exposure (Category 3, H335)",,H302;H315;H319;H335,GHS_07,Synthetic Laboratory,FC15 (White cupboard),FC15 (White cupboard),,3-Dimethylamino-1-propyl chloride hydrochloride,,,,Rich Lyons (rjlyons),,,P261;P305 + P351 + P338,D145203-100G,,,100g,100,g,,100,,g,Warning,,Solid,,,,,,,0,,158.0720062,"InChI=1S/C5H12ClN.ClH/c1-7(2)5-3-4-6;/h3-5H2,1-2H3;1H",94308,,,,,,,,,,,,,,
,4740,Aldrich,Materials Innovation Factory,5470-11-1,,16/10/2017,,Cooper Group,"Corrosive to Metals (Category 1);Acute toxicity, Oral (Category 4);Acute toxicity, Dermal (Category 4);Skin corrosion/irritation (Category 2);Skin sensitisation (Category 1);Serious eye damage/eye irritation (Category 2);Carcinogenicity (Category 2);Specific target organ toxicity - repeated exposure (Category 2);Hazardous to the aquatic environment, short-term (acute), (Category 1)",,H290;H302;H312;H315;H317;H319;H351;H373;H400,GHS_05;GHS_07;GHS_08;GHS_09,Synthetic Laboratory,Box 4,Cupboard 7 > Box 4,,Hydroxylamine hydrochloride,,,,Alex James (amjames),,,,379921-25G,,,25 g,25,g,,25,,g,Warning,,,ROOM,,,,,,2923,,69.49099731,"InChI=1S/ClH.H3NO/c;1-2/h1H;2H,1H2",443297,,,,,,,,,,,,,,
,6522,Honeywell Chemicals,Materials Innovation Factory,5470-11-1,,01/11/2017,,Cooper Group,No data available,,,,Synthetic Laboratory,Box 4,Cupboard 7 > Box 4,,Hydroxylamine hydrochloride,,,,Alex James (amjames),,,,159417-100G,,,100g,100,g,100g,100,100,g,,,,ROOM,,,,,,0,,69.49099731,"InChI=1S/ClH.H3NO/c;1-2/h1H;2H,1H2",443297,,,,,,,,,,,,,,
,9183,TCI,Materials Innovation Factory,5470-11-1,,31/10/2019,,Cooper Group,No data available,,,,Synthetic Laboratory,Box 5,Cupboard 7 > Box 5,,Hydroxylamine Hydrochloride,,,,Alex James (amjames),,,,H1581,,,500 g,500,g,500 g,500,500,g,,,,,,,,,,,,69.49099731,"InChI=1S/ClH.H3NO/c;1-2/h1H;2H,1H2",443297,,,,,,,,,,,,,,
,5445,Fluorochem,Materials Innovation Factory,5720-05-8,,12/10/2017,,Cooper Group,No data available,,,,Synthetic Laboratory,Box 2,Cupboard 10 > Box 2,,4-Tolyboronic Acid,,,,Marc Little (malittle),,,,010854,,,100 g,100,g,,100,,g,,,,,,,,,,0,,135.9589996,"InChI=1S/C7H9BO2/c1-6-2-4-7(5-3-6)8(9)10/h2-5,9-10H,1H3",79799,,,,,,,,,,,,,,
,5521,Alfa Aesar,Materials Innovation Factory,5815-08-7,,12/10/2017,,Cooper Group,No data available,,,,Synthetic Laboratory,Box 9,Cupboard 2 > Box 9,10196555,"tert-Butoxybis(dimethylamino)methane, tech. 90%",,,,Rob Clowes (rob123),,,,H27861,,,5g,5,g,,5,,g,,,,,,,,,,1993,,174.2879944,"InChI=1S/C9H22N2O/c1-9(2,3)12-8(10(4)5)11(6)7/h8H,1-7H3",79885,,,,,,,,,,,,,,
,7265,Aldrich,Materials Innovation Factory,5872-08-2,,17/05/2018,,Cooper Group,Skin corrosion/irritation (Category 1B),,H314,GHS_05,Synthetic Laboratory,Box 3,Cupboard 3 > Box 3,,Camphor-10-sulfonic acid (β),,,,Haofan Yang (hyang),II,,P280;P305 + P351 + P338;P310,147923-100g,,,100 g,100,g,,100,,g,Danger,,Solid,ROOM,,,8,,,3261,,232.3009949,"InChI=1S/C10H16O4S/c1-9(2)7-3-4-10(9,8(11)5-7)6-15(12,13)14/h7H,3-6H2,1-2H3,(H,12,13,14)",18462,,,,,,,,,,,,,,
,11308,Aldrich,Materials Innovation Factory,5949-05-3,,20/10/2021,,Cooper Group,"Skin corrosion/irritation (Category 2);Serious eye damage/eye irritation (Category 2);Specific target organ toxicity - single exposure (Category 3, H335)",,H315;H319;H335,GHS_07,Synthetic Laboratory,FC04 (White cupboard),FC04 (White cupboard),,(S)-(-)-Citronellal,,,,Wei Zhao (wzhao),,,,373753,,,1g,1,g,1g,1,1,g,Warning,,,,,,,,,0,,154.253006,"InChI=1S/C10H18O/c1-9(2)5-4-6-10(3)7-8-11/h5,8,10H,4,6-7H2,1-3H3/t10-/m0/s1",443157,,,,,,,,,,,,,,
,7081,Aldrich,Materials Innovation Factory,5949-05-3,,17/11/2017,,Cooper Group,"Skin corrosion/irritation (Category 2);Serious eye damage/eye irritation (Category 2);Specific target organ toxicity - single exposure (Category 3, H335)",,H315;H319;H335,GHS_07,Synthetic Laboratory,Fridge 3,Fridge 3,,(S)-(-)-Citronellal,,,,Veronica Del Angel Hernandez (v.del-angel-hernandez),,,,373753,,,1g,1,g,,1,,g,Warning,,,,,,,,,0,,154.253006,"InChI=1S/C10H18O/c1-9(2)5-4-6-10(3)7-8-11/h5,8,10H,4,6-7H2,1-3H3/t10-/m0/s1",443157,,,,,,,,,,,,,,
,3489,TCI,Materials Innovation Factory,5981-09-9,,25/04/2018,,Cooper Group,No data available,,,,Synthetic Laboratory,FC03 (White cupboard),FC03 (White cupboard),,Tris(4-aminophenyl)amine,,,,Rob Clowes (rob123),,,,T2332,,,1g,1,g,,1,,g,,,,,,,,,,0,,290.3699951,"InChI=1S/C18H18N4/c19-13-1-7-16(8-2-13)22(17-9-3-14(20)4-10-17)18-11-5-15(21)6-12-18/h1-12H,19-21H2",80083,,,,,,,,,,,,,,
,8532,TCI,Materials Innovation Factory,5981-09-9,,20/03/2019,,Cooper Group,No data available,,,,Synthetic Laboratory,Box 7,Cupboard 10 > Box 7,,"4,4',4''-Triaminotriphenylamine",,,,Alex James (amjames),,,,T2332,,,1 g,1,g,,1,,g,,,,,,,,,,0,,290.3699951,"InChI=1S/C18H18N4/c19-13-1-7-16(8-2-13)22(17-9-3-14(20)4-10-17)18-11-5-15(21)6-12-18/h1-12H,19-21H2",80083,,,,,,,,,,,,,,
