P301+P330+P331	IF SWALLOWED: Rinse mouth. Do NOT induce vomiting.
P302+P334	IF ON SKIN: Immerse in cool water [or wrap in wet bandages].
P302+P335+P334	Brush off loose particles from skin. Immerse in cool water [or wrap in wet bandages].
P302+P350	IF ON SKIN: Gently wash with plenty of soap and water.
P302+P352	IF ON SKIN: wash with plenty of water.
P303+P361+P353	IF ON SKIN (or hair): Take off Immediately all contaminated clothing. Rinse SKIN with water [or shower].
P304+P312	IF INHALED: Call a $1 if you feel unwell.
P304+P340	IF INHALED: Remove person to fresh air and keep comfortable for breathing.
P304+P341	IF INHALED: If breathing is difficult, remove victim to fresh air and keep at rest in a position comfortable for breathing.
P305+P351+P338	IF IN EYES: Rinse cautiously with water for several minutes. Remove contact lenses if present and easy to do - continue rinsing.
P306+P360	IF ON CLOTHING: Rinse Immediately contaminated CLOTHING and SKIN with plenty of water before removing clothes.
P307+P311	IF exposed: call a POISON CENTER or doctor/physician.
P308+P311	IF exposed or concerned: Call a $1
P308+P313	IF exposed or concerned: Get medical advice/attention.
P309+P311	IF exposed or if you feel unwell: call a POISON CENTER or doctor/physician.
P332+P313	IF SKIN irritation occurs: Get medical advice/attention.
P333+P313	IF SKIN irritation or rash occurs: Get medical advice/attention.
P335+P334	Brush off loose particles from skin. Immerse in cool water/wrap in wet bandages.
P337+P313	IF eye irritation persists: Get medical advice/attention.
P342+P311	IF experiencing respiratory symptoms: Call a $1.
P361+P364	Take off immediately all contaminated clothing and wash it before reuse.
P362+P364	Take off contaminated clothing and wash it before reuse.
P370+P376	in case of fire: Stop leak if safe to do so.
P370+P378	In case of fire: Use $1 to extinguish.
P370+P380	In case of fire: Evacuate area.
P370+P380+P375	In case of fire: Evacuate area. Fight fire remotely due to the risk of explosion.
P371+P380+P375	In case of major fire and large quantities: Evacuate area. Fight fire remotely due to the risk of explosion.
P401	Store in accordance with $1.
P402	Store in a dry place.
P403	Store in a well-ventilated place.
P404	Store in a closed container.
P405	Store locked up.
P406	Store in $1 container with a resistant inner liner.
P407	Maintain air gap between stacks or pallets.
P410	Protect from sunlight.
P411	Store at temperatures not exceeding $1.
P412	Do not expose to temperatures exceeding $1.
P413	Store bulk masses greater than $1 at temperatures not exceeding $2.
P420	Store separately.
P422	Store contents under $1
P402+P404	Store in a dry place. Store in a closed container.
P403+P233	Store in a well-ventilated place. Keep container tightly closed.
P403+P235	Store in a well-ventilated place. Keep cool.
P410+P403	Protect from sunlight. Store in a well-ventilated place.
P410+P412	Protect from sunlight. Do not expose to temperatures exceeding $1.
P411+P235	Store at temperatures not exceeding $1. Keep cool.
P501	Dispose of contents/container to $1.
P502	Refer to manufacturer or supplier for information on recovery or recycling.
